text,title,url,label,confidence
Breaking: Scientists discover cure for all diseases! Share before deleted!,MIRACLE CURE DISCOVERED,https://fakenews.com/miracle-cure,0,0.9998455853338257
New study from Harvard Medical School shows promising results in cancer treatment.,Harvard Study: Cancer Treatment Breakthrough,https://reuters.com/health/cancer-study,1,0.9998566890886993
SHOCKING: Government hiding the truth about vaccines! Wake up people!,VACCINE TRUTH EXPOSED,https://conspiracy.org/vaccine-truth,0,0.9998455853338257
The World Health Organization released new guidelines for COVID-19 prevention.,WHO Updates COVID-19 Guidelines,https://bbc.com/news/who-guidelines,1,0.9998566890886993
You won't believe what this celebrity did! Click here now!,CELEBRITY SCANDAL,https://clickbait.net/celebrity-scandal,0,0.9998455853338257
"According to a report by the National Institute of Health, regular exercise reduces heart disease risk.",Exercise Reduces Heart Disease Risk,https://nih.gov/research/exercise-study,1,0.9998737904845304
URGENT: Earth will be destroyed tomorrow! Scientists confirm!,EARTH DESTRUCTION IMMINENT,https://hoax.info/earth-destruction,0,0.9998455853338257
The Federal Reserve announced a new interest rate policy to combat inflation.,Fed Announces New Interest Rate Policy,https://bloomberg.com/economics/fed-policy,1,0.9998566890886993
This one weird trick will make you rich overnight! Doctors hate him!,GET RICH QUICK,https://scam.com/get-rich,0,0.9197177576462675
Research published in Nature journal reveals new insights into climate change patterns.,Nature: New Climate Change Research,https://nature.com/articles/climate-research,1,0.9976754102873882
