text,title,url
Breaking: Scientists discover cure for all diseases! Share before deleted!,MIRACLE CURE DISCOVERED,https://fakenews.com/miracle-cure
New study from Harvard Medical School shows promising results in cancer treatment.,Harvard Study: Cancer Treatment Breakthrough,https://reuters.com/health/cancer-study
SHOCKING: Government hiding the truth about vaccines! Wake up people!,VACCINE TRUTH EXPOSED,https://conspiracy.org/vaccine-truth
The World Health Organization released new guidelines for COVID-19 prevention.,WHO Updates COVID-19 Guidelines,https://bbc.com/news/who-guidelines
You won't believe what this celebrity did! Click here now!,CELEBRITY SCANDAL,https://clickbait.net/celebrity-scandal
"According to a report by the National Institute of Health, regular exercise reduces heart disease risk.",Exercise Reduces Heart Disease Risk,https://nih.gov/research/exercise-study
URGENT: Earth will be destroyed tomorrow! Scientists confirm!,EARTH DESTRUCTION IMMINENT,https://hoax.info/earth-destruction
The Federal Reserve announced a new interest rate policy to combat inflation.,Fed Announces New Interest Rate Policy,https://bloomberg.com/economics/fed-policy
This one weird trick will make you rich overnight! Doctors hate him!,GET RICH QUICK,https://scam.com/get-rich
Research published in Nature journal reveals new insights into climate change patterns.,Nature: New Climate Change Research,https://nature.com/articles/climate-research
